,Unix,open,high,low,close,EMA_50,EMA_200,RSI
0,1604188800000,0.416,0.423,0.388,0.401,,,
1,1604275200000,0.402,0.425,0.356,0.361,,,
2,1604361600000,0.36,0.37,0.34,0.356,,,
3,1604448000000,0.356,0.378,0.33,0.342,,,
4,1604534400000,0.342,0.385,0.331,0.36,,,
5,1604620800000,0.362,0.448,0.356,0.438,,,
6,1604707200000,0.437,0.548,0.395,0.43,,,
7,1604793600000,0.429,0.49,0.419,0.471,,,
8,1604880000000,0.471,0.496,0.422,0.454,,,
9,1604966400000,0.454,0.601,0.443,0.566,,,
10,1605052800000,0.565,0.655,0.531,0.544,,,
11,1605139200000,0.544,0.595,0.512,0.563,,,
12,1605225600000,0.564,0.699,0.546,0.684,,,
13,1605312000000,0.683,0.747,0.595,0.71,,,
14,1605398400000,0.71,0.845,0.704,0.78,,,82.06429780033842
15,1605484800000,0.779,0.841,0.691,0.825,,,83.42355347046797
16,1605571200000,0.824,0.91,0.802,0.876,,,84.82700207512812
17,1605657600000,0.876,0.888,0.692,0.759,,,70.1529129103887
18,1605744000000,0.757,0.845,0.71,0.801,,,72.02382541065042
19,1605830400000,0.803,0.957,0.792,0.857,,,74.33394305575554
20,1605916800000,0.857,0.897,0.79,0.853,,,73.86476280502681
21,1606003200000,0.853,0.873,0.692,0.746,,,62.5004281442842
22,1606089600000,0.747,0.804,0.713,0.742,,,62.115686767108755
23,1606176000000,0.742,0.796,0.659,0.686,,,56.84029246708646
24,1606262400000,0.685,0.757,0.625,0.641,,,52.94877719169882
25,1606348800000,0.641,0.663,0.485,0.594,,,49.16287220397099
26,1606435200000,0.594,0.644,0.543,0.641,,,52.79752732504147
27,1606521600000,0.642,0.65,0.587,0.608,,,50.089638289999996
28,1606608000000,0.609,0.688,0.592,0.656,,,53.80122586987037
29,1606694400000,0.656,0.73,0.656,0.675,,,55.22075024843858
30,1606780800000,0.675,0.76,0.628,0.679,,,55.53053878633267
31,1606867200000,0.68,0.819,0.66,0.801,,,63.764476766822256
32,1606953600000,0.8,0.858,0.767,0.829,,,65.35020681119849
33,1607040000000,0.829,0.835,0.668,0.685,,,52.60112531445944
34,1607126400000,0.684,0.742,0.668,0.741,,,56.18128034328333
35,1607212800000,0.741,0.748,0.67,0.702,,,53.169274568042354
36,1607299200000,0.703,0.744,0.684,0.708,,,53.581586391309024
37,1607385600000,0.707,0.711,0.588,0.609,,,46.33299086900574
38,1607472000000,0.608,0.642,0.562,0.633,,,48.16375568471354
39,1607558400000,0.634,0.642,0.581,0.599,,,45.78108717424256
40,1607644800000,0.601,0.603,0.535,0.557,,,42.95422750252317
41,1607731200000,0.557,0.599,0.556,0.591,,,45.868196679673595
42,1607817600000,0.592,0.637,0.576,0.617,,,48.05342838247565
43,1607904000000,0.616,0.643,0.592,0.638,,,49.81558495390333
44,1607990400000,0.638,0.672,0.622,0.628,,,48.96380357938091
45,1608076800000,0.629,0.653,0.595,0.651,,,51.03747174048755
46,1608163200000,0.651,0.687,0.614,0.655,,,51.407256677215116
47,1608249600000,0.655,0.656,0.621,0.645,,,50.382802832001914
48,1608336000000,0.644,0.7,0.639,0.664,,,52.326735183313986
49,1608422400000,0.665,0.667,0.607,0.616,0.6517150621356518,,47.28642020921662
50,1608508800000,0.616,0.629,0.54,0.558,0.6474908410551692,,42.019504107380826
51,1608595200000,0.558,0.571,0.509,0.558,0.6434805257232351,,42.019504107380826
52,1608681600000,0.558,0.57,0.385,0.42,0.6335215265846991,,32.14084997440519
53,1608768000000,0.42,0.481,0.407,0.479,0.6266721852730633,,38.76877262042797
