Unix,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH_Open,ETH_High,ETH_Low,ETH_Close,UNI_Open,UNI_High,UNI_Low,UNI_Close,CRV_Open,CRV_High,CRV_Low,CRV_Close
1604188800000,13791.0,13895.0,13603.0,13761.5,386.44,398.29,384.61,396.67,2.2648,2.4537,2.219,2.3765,0.416,0.423,0.388,0.401
1604275200000,13761.49,13830.0,13195.05,13549.37,396.68,404.5,377.92,383.02,2.3764,2.4541,2.2228,2.254,0.402,0.425,0.356,0.361
1604361600000,13549.63,14066.11,13284.99,14023.53,383.01,390.0,370.23,387.88,2.2526,2.281,2.0554,2.138,0.36,0.37,0.34,0.356
1604448000000,14023.53,14259.0,13525.0,14144.01,387.88,408.39,376.47,402.49,2.136,2.1664,1.8758,1.9281,0.356,0.378,0.33,0.342
1604534400000,14144.01,15750.0,14093.56,15590.02,402.5,420.4,396.14,416.69,1.9271,2.431,1.7563,2.1901,0.342,0.385,0.331,0.36
1604620800000,15590.02,15960.0,15166.0,15579.92,416.73,458.27,414.76,455.91,2.1892,2.6877,2.1735,2.5657,0.362,0.448,0.356,0.438
1604707200000,15579.93,15753.52,14344.22,14818.3,455.91,468.28,424.14,435.21,2.5681,3.0287,2.422,2.4755,0.437,0.548,0.395,0.43
1604793600000,14818.3,15650.0,14703.88,15475.1,435.2,460.1,431.99,454.3,2.4755,2.9229,2.4317,2.8653,0.429,0.49,0.419,0.471
1604880000000,15475.1,15840.0,14805.54,15328.41,454.29,459.1,433.09,444.32,2.8625,2.8785,2.5731,2.6822,0.471,0.496,0.422,0.454
1604966400000,15328.41,15460.0,15072.46,15297.21,444.32,455.0,438.7,450.34,2.6792,3.1766,2.6267,3.0759,0.454,0.601,0.443,0.566
1605052800000,15297.21,15965.0,15272.68,15684.24,450.34,476.25,449.28,463.09,3.0772,3.2161,2.8721,2.9308,0.565,0.655,0.531,0.544
1605139200000,15684.25,16340.7,15440.64,16291.86,463.09,470.0,451.2,462.39,2.9309,3.1387,2.8333,2.9582,0.544,0.595,0.512,0.563
1605225600000,16291.85,16480.0,15952.35,16320.7,462.48,478.01,457.12,476.43,2.9594,3.9859,2.935,3.8614,0.564,0.699,0.546,0.684
1605312000000,16320.04,16326.99,15670.0,16070.45,476.42,477.47,452.0,460.89,3.8578,3.968,3.5113,3.8165,0.683,0.747,0.595,0.71
1605398400000,16069.56,16180.0,15774.72,15957.0,460.9,462.89,440.19,448.08,3.8127,4.2497,3.6143,3.8458,0.71,0.845,0.704,0.78
1605484800000,15957.0,16880.0,15864.0,16713.57,448.07,466.0,445.45,460.55,3.8471,3.95,3.45,3.5634,0.779,0.841,0.691,0.825
1605571200000,16713.08,17858.82,16538.0,17659.38,460.51,484.88,459.8,482.15,3.5618,3.8732,3.476,3.8104,0.824,0.91,0.802,0.876
1605657600000,17659.38,18476.93,17214.45,17776.12,482.11,495.31,456.6,478.41,3.8135,3.8499,3.271,3.4607,0.876,0.888,0.692,0.759
1605744000000,17777.75,18179.8,17335.65,17802.82,478.43,480.75,464.86,471.25,3.4622,3.89,3.2093,3.7417,0.757,0.845,0.71,0.801
1605830400000,17802.81,18815.22,17740.04,18655.67,471.26,514.4,470.65,510.12,3.7447,4.0899,3.6764,3.8552,0.803,0.957,0.792,0.857
1605916800000,18655.66,18965.9,18308.58,18703.8,510.12,553.32,502.82,552.35,3.8573,3.94,3.5892,3.8366,0.857,0.897,0.79,0.853
1606003200000,18703.8,18750.0,17610.86,18414.43,552.42,580.88,511.28,560.03,3.8382,3.9483,3.41,3.6763,0.853,0.873,0.692,0.746
1606089600000,18413.88,18766.0,18000.0,18368.0,560.03,610.85,550.12,608.58,3.681,4.2292,3.6312,4.1842,0.747,0.804,0.713,0.742
1606176000000,18368.01,19418.97,18018.0,19160.01,608.58,623.0,585.0,604.97,4.1855,4.4857,3.9274,4.0627,0.742,0.796,0.659,0.686
1606262400000,19160.0,19484.21,18500.27,18719.11,604.98,606.0,553.83,569.5,4.063,4.2,3.51,3.6773,0.685,0.757,0.625,0.641
1606348800000,18718.83,18915.03,16188.0,17149.47,569.38,577.14,481.0,519.83,3.6748,3.7684,3.1,3.43,0.641,0.663,0.485,0.594
1606435200000,17149.47,17457.62,16438.08,17139.52,519.83,530.62,493.72,518.68,3.4324,3.5369,3.1613,3.3067,0.594,0.644,0.543,0.641
1606521600000,17139.53,17880.49,16865.56,17719.85,518.59,547.94,506.59,537.52,3.3057,3.535,3.2559,3.4616,0.642,0.65,0.587,0.608
1606608000000,17719.84,18360.05,17517.0,18184.99,537.5,576.9,530.32,576.3,3.4584,3.572,3.36,3.5514,0.609,0.688,0.592,0.656
1606694400000,18185.0,19863.16,18184.99,19695.87,576.32,616.85,570.07,616.66,3.5524,3.8105,3.5315,3.7824,0.656,0.73,0.656,0.675
1606780800000,19695.87,19888.0,18001.12,18764.96,616.65,635.7,560.0,585.26,3.7765,3.9851,3.3852,3.55,0.675,0.76,0.628,0.679
1606867200000,18764.96,19342.0,18330.0,19204.09,585.26,604.93,575.0,596.89,3.5456,4.17,3.2251,3.9484,0.68,0.819,0.66,0.801
1606953600000,19204.08,19598.0,18867.2,19421.9,596.88,623.44,585.82,615.85,3.9455,4.0233,3.7992,3.8829,0.8,0.858,0.767,0.829
1607040000000,19422.34,19527.0,18565.31,18650.52,615.84,620.0,565.82,567.24,3.8811,3.9207,3.4964,3.516,0.829,0.835,0.668,0.685
1607126400000,18650.51,19177.0,18500.0,19147.66,567.24,597.11,560.88,596.8,3.5161,3.6982,3.4442,3.6834,0.684,0.742,0.668,0.741
1607212800000,19147.66,19420.0,18857.0,19359.4,596.82,607.5,583.0,601.54,3.6785,3.7894,3.5069,3.6482,0.741,0.748,0.67,0.702
1607299200000,19358.67,19420.91,18902.88,19166.9,601.59,603.15,584.22,591.28,3.6482,3.8794,3.5617,3.7574,0.703,0.744,0.684,0.708
1607385600000,19166.9,19294.84,18200.0,18324.11,591.27,595.0,549.22,554.94,3.7569,3.7618,3.2775,3.2982,0.707,0.711,0.588,0.609
1607472000000,18324.11,18639.57,17650.0,18541.28,554.92,578.08,530.43,573.09,3.3007,3.3943,3.116,3.3511,0.608,0.642,0.562,0.633
1607558400000,18541.29,18557.32,17911.12,18254.63,573.2,575.7,548.11,558.99,3.3502,3.3716,3.1899,3.239,0.634,0.642,0.581,0.599
1607644800000,18254.81,18292.73,17572.33,18036.53,558.99,560.8,535.5,544.43,3.2396,3.2463,2.91,2.9623,0.601,0.603,0.535,0.557
1607731200000,18036.53,18948.66,18020.7,18808.69,544.46,574.0,543.1,568.04,2.9617,3.1785,2.9603,3.1225,0.557,0.599,0.556,0.591
1607817600000,18808.69,19411.0,18711.12,19174.99,568.09,595.0,563.22,590.7,3.1224,3.3676,3.0721,3.344,0.592,0.637,0.576,0.617
1607904000000,19174.99,19349.0,19000.0,19273.14,590.81,591.48,575.6,586.29,3.3396,3.5454,3.2368,3.4803,0.616,0.643,0.592,0.638
1607990400000,19273.69,19570.0,19050.0,19426.43,586.29,597.2,578.58,588.64,3.4778,3.5177,3.3055,3.3292,0.638,0.672,0.622,0.628
1608076800000,19426.43,21560.0,19278.6,21335.52,588.78,640.0,580.71,637.18,3.3258,3.5415,3.2438,3.5357,0.629,0.653,0.595,0.651
1608163200000,21335.52,23800.0,21230.0,22797.16,637.18,676.25,625.76,642.7,3.534,3.999,3.4341,3.6914,0.651,0.687,0.614,0.655
1608249600000,22797.15,23285.18,22350.0,23107.39,642.71,664.61,629.4,653.85,3.6914,3.8571,3.5453,3.7652,0.655,0.656,0.621,0.645
1608336000000,23107.39,24171.47,22750.0,23821.61,653.76,669.95,645.42,658.03,3.7693,4.2433,3.623,3.9621,0.644,0.7,0.639,0.664
1608422400000,23821.6,24295.0,23060.0,23455.52,658.05,661.39,621.01,638.18,3.9621,4.0273,3.6874,3.7617,0.665,0.667,0.607,0.616
1608508800000,23455.54,24102.77,21815.0,22719.71,638.1,648.0,595.9,607.58,3.7606,3.9249,3.4156,3.5094,0.616,0.629,0.54,0.558
